,Agency,Date,Description,Incident#,Location
50,Champaign Police,8-29-2020 4:51 PM,ASSAULT-AGGRAVATED,CC2005363,LOUISIANA AV  & BLOOMINGTON RD
51,Champaign Police,8-29-2020 3:47 PM,CONTROLLED SUBSTANCE-POSSESSION,CC2005361,800  BLOCK  BLOOMINGTON RD
52,Champaign Police,8-29-2020 3:00 PM,THEFT-MOTOR VEHICLE,CC2005377,2100  BLOCK  SUNVIEW DR
53,Champaign Police,8-29-2020 2:30 PM,THEFT $500 AND UNDER,CC2005360,100  BLOCK E SPRINGFIELD AV
54,Champaign Police,8-29-2020 12:45 PM,BATTERY,CC2005355,300  BLOCK  KENWOOD RD
55,Champaign Police,8-29-2020 10:00 AM,BATTERY-DOMESTIC,CC2005352,5100  BLOCK  JACKS BL
56,Champaign Police,8-29-2020 8:20 AM,DISORDERLY CONDUCT-ALL OTHER,CC2005348,400  BLOCK E CHURCH ST
57,Champaign Police,8-29-2020 7:00 AM,THEFT-MOTOR VEHICLE,CC2005347,700  BLOCK W HEALEY ST
58,Champaign Police,8-29-2020 2:00 AM,BATTERY-AGG DOMESTIC,CC2005346,1900  BLOCK  SOUTHWOOD DR
59,Champaign Police,8-29-2020 1:33 AM,FIGHTING,CC2005343,100  BLOCK N WALNUT ST
60,Champaign Police,8-30-2020 12:01 AM,ASSAULT-AGGRAVATED,CC2005381,100  BLOCK E PARK ST
61,Champaign Police,8-29-2020 11:00 PM,BATTERY-DOMESTIC,CC2005370,2500  BLOCK W SPRINGFIELD AV
62,Champaign Police,8-29-2020 10:00 PM,THEFT OF LOST/MISLAID PROP,CC2005401,2100  BLOCK  LYNWOOD DR
63,Champaign Police,8-29-2020 8:20 PM,BATTERY -CITY,CC2005368,100  BLOCK E GREEN ST
64,Champaign Police,8-29-2020 7:15 PM,BATTERY-AGGRAVATED,CC2005366,N FOURTH ST  & S CHURCH ST
65,Champaign Police,8-29-2020 4:51 PM,ASSAULT-AGGRAVATED,CC2005363,LOUISIANA AV  & BLOOMINGTON RD
66,Champaign Police,8-29-2020 3:47 PM,CONTROLLED SUBSTANCE-POSSESSION,CC2005361,800  BLOCK  BLOOMINGTON RD
67,Champaign Police,8-29-2020 3:00 PM,THEFT-MOTOR VEHICLE,CC2005377,2100  BLOCK  SUNVIEW DR
68,Champaign Police,8-29-2020 2:30 PM,THEFT $500 AND UNDER,CC2005360,100  BLOCK E SPRINGFIELD AV
69,Champaign Police,8-29-2020 12:45 PM,BATTERY,CC2005355,300  BLOCK  KENWOOD RD
70,Champaign Police,8-29-2020 10:00 AM,BATTERY-DOMESTIC,CC2005352,5100  BLOCK  JACKS BL
71,Champaign Police,8-29-2020 8:20 AM,DISORDERLY CONDUCT-ALL OTHER,CC2005348,400  BLOCK E CHURCH ST
72,Champaign Police,8-29-2020 7:00 AM,THEFT-MOTOR VEHICLE,CC2005347,700  BLOCK W HEALEY ST
73,Champaign Police,8-29-2020 2:00 AM,BATTERY-AGG DOMESTIC,CC2005346,1900  BLOCK  SOUTHWOOD DR
74,Champaign Police,8-29-2020 1:33 AM,FIGHTING,CC2005343,100  BLOCK N WALNUT ST
