,Agency,Date,Description,Incident#,Location
224,Champaign Police,8-18-2020 3:00 PM,THEFT $500 AND UNDER,CC2005242,500  BLOCK S THIRD ST
225,Champaign Police,8-18-2020 1:24 PM,CONTROLLED SUBSTANCE-POSSESSION,CC2005075,100  BLOCK E STATE ST
226,Champaign Police,8-18-2020 1:00 PM,BATTERY-AGG DOMESTIC,CC2005095,600  BLOCK E WASHINGTON ST
227,Champaign Police,8-18-2020 12:00 PM,THEFT $500 AND UNDER,CC2005240,100  BLOCK E JOHN ST
228,Champaign Police,8-18-2020 11:49 AM,HARASSMENT BY TELEPHONE,CC2005071,200  BLOCK S MATTIS AV
229,Champaign Police,8-18-2020 11:00 AM,DECEPTIVE PRACTICES,CC2005072,3100  BLOCK  PALMER DR
230,Champaign Police,8-18-2020 10:55 AM,THEFT OVER $500,CC2005069,100  BLOCK N FIRST ST
231,Champaign Police,8-18-2020 10:30 AM,THEFT $500 AND UNDER,CC2005094,2400  BLOCK N NEIL ST
232,Champaign Police,8-18-2020 9:56 AM,BATTERY-AGG DOMESTIC,CC2005070,1500  BLOCK  KILER DR
233,Champaign Police,8-18-2020 8:00 AM,THEFT $500 AND UNDER,CC2005068,0  BLOCK E ANTHONY DR
234,Champaign Police,8-18-2020 7:25 AM,ASSAULT -CITY,CC2005059,2000  BLOCK  MORELAND BLVD
235,Champaign Police,8-18-2020 1:00 AM,BATTERY-AGGRAVATED,CC2005065,800  BLOCK  SHERWOOD TERR
236,Champaign Police,8-17-2020 10:30 PM,BATTERY-DOMESTIC,CC2005050,2900  BLOCK  HELEN CT
237,Champaign Police,8-17-2020 9:20 PM,BATTERY-DOMESTIC,CC2005049,1000  BLOCK  HARVARD ST
238,Champaign Police,8-17-2020 7:00 PM,CRIMINAL DAMAGE TO PROPERTY,CC2005054,2000  BLOCK W SPRINGFIELD AV
239,Champaign Police,8-17-2020 6:00 PM,THEFT OVER $500,CC2005309,300  BLOCK E JOHN ST
240,Champaign Police,8-18-2020 1:24 PM,CONTROLLED SUBSTANCE-POSSESSION,CC2005075,100  BLOCK E STATE ST
241,Champaign Police,8-18-2020 1:00 PM,BATTERY-AGG DOMESTIC,CC2005095,600  BLOCK E WASHINGTON ST
242,Champaign Police,8-18-2020 12:00 PM,THEFT $500 AND UNDER,CC2005240,100  BLOCK E JOHN ST
243,Champaign Police,8-18-2020 11:49 AM,HARASSMENT BY TELEPHONE,CC2005071,200  BLOCK S MATTIS AV
244,Champaign Police,8-18-2020 11:00 AM,DECEPTIVE PRACTICES,CC2005072,3100  BLOCK  PALMER DR
245,Champaign Police,8-18-2020 10:55 AM,THEFT OVER $500,CC2005069,100  BLOCK N FIRST ST
246,Champaign Police,8-18-2020 10:30 AM,THEFT $500 AND UNDER,CC2005094,2400  BLOCK N NEIL ST
247,Champaign Police,8-18-2020 9:56 AM,BATTERY-AGG DOMESTIC,CC2005070,1500  BLOCK  KILER DR
248,Champaign Police,8-18-2020 8:00 AM,THEFT $500 AND UNDER,CC2005068,0  BLOCK E ANTHONY DR
249,Champaign Police,8-18-2020 7:25 AM,ASSAULT -CITY,CC2005059,2000  BLOCK  MORELAND BLVD
250,Champaign Police,8-18-2020 1:00 AM,BATTERY-AGGRAVATED,CC2005065,800  BLOCK  SHERWOOD TERR
251,Champaign Police,8-17-2020 10:30 PM,BATTERY-DOMESTIC,CC2005050,2900  BLOCK  HELEN CT
252,Champaign Police,8-17-2020 9:20 PM,BATTERY-DOMESTIC,CC2005049,1000  BLOCK  HARVARD ST
253,Champaign Police,8-17-2020 7:00 PM,CRIMINAL DAMAGE TO PROPERTY,CC2005054,2000  BLOCK W SPRINGFIELD AV
254,Champaign Police,8-17-2020 6:00 PM,THEFT OVER $500,CC2005309,300  BLOCK E JOHN ST
255,Champaign Police,8-17-2020 5:00 PM,BURGLARY FROM MOTOR VEHICLE,CC2005076,500  BLOCK S COUNTRY FAIR DR
256,Champaign Police,8-17-2020 3:00 PM,BURGLARY,CC2005064,100  BLOCK  KENWOOD RD
257,Champaign Police,8-17-2020 12:00 PM,THEFT $500 AND UNDER,CC2005239,500  BLOCK  STOUGHTON ST
258,Champaign Police,8-17-2020 10:12 AM,TRESPASS TO LAND/REAL PROPERTY,CC2005036,100  BLOCK S STATE ST
259,Champaign Police,8-17-2020 9:55 AM,BATTERY -CITY,CC2005035,2000  BLOCK W SPRINGFIELD AV
260,Champaign Police,8-17-2020 9:35 AM,THEFT OVER $500,CC2005042,1300  BLOCK S NEIL ST
261,Champaign Police,8-17-2020 9:19 AM,ASSAULT,CC2005033,1300  BLOCK S NEIL ST
262,Champaign Police,8-17-2020 9:00 AM,THEFT $500 AND UNDER,CC2005235,300  BLOCK E JOHN ST
263,Champaign Police,8-17-2020 2:01 AM,ARSON,CC2005045,2100  BLOCK N PROSPECT AV
264,Champaign Police,8-17-2020 12:00 AM,BATTERY-AGG DOMESTIC,CC2005229,1100  BLOCK  JOANNE LN
265,Champaign Police,8-16-2020 10:59 PM,BATTERY-DOMESTIC,CC2005029,300  BLOCK  KENWOOD RD
266,Champaign Police,8-16-2020 10:12 PM,BURGLARY RESIDENTIAL,CC2005026,400  BLOCK W VINE ST
267,Champaign Police,8-16-2020 1:30 PM,DAMAGING PROPERTY,CC2005018,200  BLOCK  KENWOOD RD
268,Champaign Police,8-16-2020 12:55 PM,BATTERY-DOMESTIC,CC2005016,1100  BLOCK N MCKINLEY
269,Champaign Police,8-16-2020 9:00 AM,BURGLARY FROM MOTOR VEHICLE,CC2005118,500  BLOCK E HEALEY ST
270,Champaign Police,8-16-2020 3:43 AM,DRIVING UNDER INFLUENCE-DRUGS,CC2005008,300  BLOCK N GARFIELD AV
271,Champaign Police,8-16-2020 3:35 AM,THEFT-MOTOR VEHICLE,CC2005013,1300  BLOCK  BROADMOOR DR
272,Champaign Police,8-16-2020 3:00 AM,BURGLARY FROM MOTOR VEHICLE,CC2005014,2400  BLOCK  CLAYTON BL
273,Champaign Police,8-16-2020 12:01 AM,BATTERY-AGGRAVATED,CC2005007,RANDOLPH ST  & HILL ST
274,Champaign Police,8-15-2020 10:08 PM,AGG DISCHARGE OF FIREARM,CC2005005,1000  BLOCK  BLOOMINGTON RD
275,Champaign Police,8-15-2020 9:57 PM,BURGLARY FROM MOTOR VEHICLE,CC2005135,4800  BLOCK W WINDSOR RD
276,Champaign Police,8-15-2020 9:00 PM,THEFT OVER $500,CC2005051,400  BLOCK E WHITE ST
277,Champaign Police,8-15-2020 5:00 PM,CRIMINAL DAMAGE TO PROPERTY,CC2005017,1600  BLOCK  SANGAMON DR
278,Champaign Police,8-15-2020 3:40 PM,THEFT $500 AND UNDER,CC2005246,600  BLOCK S SIXTH ST
279,Champaign Police,8-15-2020 1:30 PM,THEFT OVER $500,CC2005002,2100  BLOCK W WHITE ST
280,Champaign Police,8-15-2020 1:00 PM,BATTERY-DOMESTIC,CC2005009,2900  BLOCK  RESEARCH RD
281,Champaign Police,8-15-2020 11:00 AM,BATTERY-AGGRAVATED,CC2004997,1300  BLOCK N PROSPECT AV
282,Champaign Police,8-15-2020 8:08 AM,BATTERY-DOMESTIC,CC2004994,100  BLOCK  KENWOOD RD
283,Champaign Police,8-15-2020 6:16 AM,BATTERY-DOMESTIC,CC2004993,1600  BLOCK  KIRK LN
284,Champaign Police,8-15-2020 4:10 AM,UNLAWFUL POSS/USE WEAPON BY FELON,CC2004991,SIXTH   & COLUMBIA
285,Champaign Police,8-15-2020 1:09 AM,THEFT $500 AND UNDER,CC2005044,300  BLOCK E SPRINGFIELD AV
286,Champaign Police,8-15-2020 12:41 AM,BATTERY-AGGRAVATED,CC2004989,2000  BLOCK W BRADLEY AV
287,Champaign Police,8-14-2020 8:27 PM,THEFT $500 AND UNDER,CC2004986,2000  BLOCK  GLENN PARK DR
288,Champaign Police,8-14-2020 7:31 PM,HEROIN OVERDOSE,CC2004983,900  BLOCK  BLOOMINGTON RD
289,Champaign Police,8-14-2020 6:39 PM,BATTERY,CC2004982,2100  BLOCK W WHITE ST
290,Champaign Police,8-14-2020 6:00 PM,THEFT OVER $500,CC2005131,600  BLOCK  STOUGHTON ST
291,Champaign Police,8-14-2020 4:15 PM,THEFT $500 AND UNDER,CC2004984,600  BLOCK W HILL ST
292,Champaign Police,8-14-2020 2:00 AM,BURGLARY,CC2004975,600  BLOCK W MARKETVIEW DR
293,Champaign Police,8-13-2020 10:13 PM,ROBBERY,CC2004966,400  BLOCK E CHURCH ST
294,Champaign Police,8-13-2020 8:00 PM,CRIMINAL DAMAGE GOVT SUPPORT PROP,CC2004965,0  BLOCK E UNIVERSITY AV
295,Champaign Police,8-13-2020 7:45 PM,CRIMINAL DAMAGE TO PROPERTY,CC2004962,2000  BLOCK  MORELAND BLVD
296,Champaign Police,8-13-2020 7:30 PM,ROBBERY-ARMED,CC2004964,200  BLOCK N FOURTH ST
297,Champaign Police,8-13-2020 6:00 PM,TRESPASS-VEHICLE,CC2004960,1000  BLOCK S FIRST ST
298,Champaign Police,8-13-2020 4:52 PM,CRIMINAL DAMAGE TO PROPERTY,CC2004957,1100  BLOCK  POMONA DR
299,Champaign Police,8-13-2020 11:27 AM,THEFT OVER $500,CC2004959,300  BLOCK E HEALEY ST
300,Champaign Police,8-15-2020 1:09 AM,THEFT $500 AND UNDER,CC2005044,300  BLOCK E SPRINGFIELD AV
301,Champaign Police,8-15-2020 12:41 AM,BATTERY-AGGRAVATED,CC2004989,2000  BLOCK W BRADLEY AV
302,Champaign Police,8-14-2020 8:27 PM,THEFT $500 AND UNDER,CC2004986,2000  BLOCK  GLENN PARK DR
303,Champaign Police,8-14-2020 7:31 PM,HEROIN OVERDOSE,CC2004983,900  BLOCK  BLOOMINGTON RD
304,Champaign Police,8-14-2020 6:39 PM,BATTERY,CC2004982,2100  BLOCK W WHITE ST
305,Champaign Police,8-14-2020 6:00 PM,THEFT OVER $500,CC2005131,600  BLOCK  STOUGHTON ST
306,Champaign Police,8-14-2020 4:15 PM,THEFT $500 AND UNDER,CC2004984,600  BLOCK W HILL ST
307,Champaign Police,8-14-2020 2:00 AM,BURGLARY,CC2004975,600  BLOCK W MARKETVIEW DR
308,Champaign Police,8-13-2020 10:13 PM,ROBBERY,CC2004966,400  BLOCK E CHURCH ST
309,Champaign Police,8-13-2020 8:00 PM,CRIMINAL DAMAGE GOVT SUPPORT PROP,CC2004965,0  BLOCK E UNIVERSITY AV
310,Champaign Police,8-13-2020 7:45 PM,CRIMINAL DAMAGE TO PROPERTY,CC2004962,2000  BLOCK  MORELAND BLVD
311,Champaign Police,8-13-2020 7:30 PM,ROBBERY-ARMED,CC2004964,200  BLOCK N FOURTH ST
312,Champaign Police,8-13-2020 6:00 PM,TRESPASS-VEHICLE,CC2004960,1000  BLOCK S FIRST ST
313,Champaign Police,8-13-2020 4:52 PM,CRIMINAL DAMAGE TO PROPERTY,CC2004957,1100  BLOCK  POMONA DR
314,Champaign Police,8-13-2020 11:27 AM,THEFT OVER $500,CC2004959,300  BLOCK E HEALEY ST
315,Champaign Police,8-13-2020 10:15 AM,BATTERY-DOMESTIC,CC2004950,1100  BLOCK N THIRD ST
316,Champaign Police,8-13-2020 6:50 AM,BATTERY-DOMESTIC,CC2004947,100  BLOCK W WHITE ST
317,Champaign Police,8-12-2020 8:37 PM,DAMAGING PROPERTY,CC2004942,500  BLOCK  CRESCENT DR
318,Champaign Police,8-12-2020 5:30 PM,THEFT $500 AND UNDER,CC2004940,2400  BLOCK N PROSPECT AV
319,Champaign Police,8-12-2020 12:15 PM,BURGLARY,CC2004939,700  BLOCK S FIFTH ST
320,Champaign Police,8-12-2020 12:10 PM,BATTERY-DOMESTIC,CC2004929,2500  BLOCK W SPRINGFIELD AV
321,Champaign Police,8-12-2020 12:00 PM,THEFT OVER $500,CC2004953,600  BLOCK W HEALEY ST
322,Champaign Police,8-12-2020 8:22 AM,UNLAWFUL CANNABIS MANUFACTURING,CC2004926,1000  BLOCK  BAYTOWNE DR
323,Champaign Police,8-12-2020 4:47 AM,VIOLATION ORDER PROTECTION,CC2004922,700  BLOCK N PROSPECT AV
324,Champaign Police,8-12-2020 4:40 AM,BURGLARY,CC2004923,1200  BLOCK N MATTIS AV
325,Champaign Police,8-12-2020 12:00 AM,BURGLARY RESIDENTIAL,CC2005160,2500  BLOCK W SPRINGFIELD AV
326,Champaign Police,8-11-2020 11:10 PM,BATTERY-DOMESTIC,CC2004921,3300  BLOCK  WYNSTONE DR
327,Champaign Police,8-11-2020 10:33 PM,AGG DISCHARGE OF FIREARM,CC2004919,2400  BLOCK  LAWNDALE DR
328,Champaign Police,8-11-2020 7:45 PM,BATTERY-AGGRAVATED,CC2004918,300  BLOCK W CHURCH ST
329,Champaign Police,8-11-2020 5:51 PM,BATTERY-DOMESTIC,CC2004914,1700  BLOCK  ANITA DR
330,Champaign Police,8-11-2020 1:59 PM,BURGLARY,CC2004915,1500  BLOCK S NEIL ST
331,Champaign Police,8-11-2020 1:30 PM,BATTERY-DOMESTIC,CC2004908,300  BLOCK E SPRINGFIELD AV
332,Champaign Police,8-11-2020 12:00 PM,THEFT $500 AND UNDER,CC2005052,400  BLOCK  GINGER BEND
333,Champaign Police,8-11-2020 11:30 AM,CRIMINAL DAMAGE TO PROPERTY,CC2004911,400  BLOCK  BRIAR LN
334,Champaign Police,8-11-2020 11:30 AM,BATTERY-AGGRAVATED,CC2004902,600  BLOCK E UNIVERSITY AV
335,Champaign Police,8-11-2020 11:30 AM,DAMAGING PROPERTY,CC2004913,1000  BLOCK S MATTIS
336,Champaign Police,8-11-2020 10:00 AM,DECEPTIVE PRACTICES,CC2004907,3200  BLOCK  WEEPING CHERRY DR
337,Champaign Police,8-11-2020 8:27 AM,ASSAULT-AGGRAVATED,CC2004898,1200  BLOCK W BRADLEY AV
338,Champaign Police,8-11-2020 4:48 AM,BATTERY-DOMESTIC,CC2004896,900  BLOCK W EUREKA ST
339,Champaign Police,8-11-2020 2:31 AM,BURGLARY,CC2004895,200  BLOCK E PARK ST
340,Champaign Police,8-10-2020 9:11 PM,BATTERY-DOMESTIC,CC2004891,1400  BLOCK N HICKORY
341,Champaign Police,8-10-2020 7:22 PM,AGG DISCHARGE OF FIREARM,CC2004886,900  BLOCK  MAPLEPARK DR
342,Champaign Police,8-10-2020 6:26 PM,CRIMINAL DAMAGE TO PROPERTY,CC2004881,3300  BLOCK  PEBBLECREEK
343,Champaign Police,8-10-2020 6:00 PM,THEFT $500 AND UNDER,CC2004934,300  BLOCK E GREEN ST
344,Champaign Police,8-10-2020 5:57 PM,BURGLARY FROM MOTOR VEHICLE,CC2004878,400  BLOCK N WILLIS AV
345,Champaign Police,8-10-2020 5:39 PM,THEFT $500 AND UNDER,CC2004877,300  BLOCK E WHITE ST
346,Champaign Police,8-10-2020 4:43 PM,BATTERY-DOMESTIC,CC2004879,1200  BLOCK W BRADLEY AV
347,Champaign Police,8-10-2020 4:00 PM,BURGLARY FROM MOTOR VEHICLE,CC2004906,300  BLOCK W CHURCH ST
348,Champaign Police,8-10-2020 3:45 PM,CRIMINAL DAMAGE TO PROPERTY,CC2004887,0  BLOCK  CHESTER ST
349,Champaign Police,8-10-2020 3:00 PM,THEFT OVER $500,CC2004899,SIXTH ST  & GREEN ST
350,Champaign Police,8-10-2020 10:02 AM,BATTERY-DOMESTIC,CC2004865,900  BLOCK  TOWN CENTER BL
351,Champaign Police,8-10-2020 9:51 AM,CONTROLLED SUBSTANCE-POSSESSION,CC2004864,500  BLOCK E CLARK ST
352,Champaign Police,8-10-2020 12:01 AM,CRIMINAL DAMAGE TO PROPERTY,CC2004933,MARKET ST  & E BRADLEY AVE
353,Champaign Police,8-9-2020 10:45 PM,BURGLARY FROM MOTOR VEHICLE,CC2004873,2100  BLOCK W WHITE ST
354,Champaign Police,8-9-2020 10:00 PM,THEFT-MOTOR VEHICLE,CC2004868,2100  BLOCK  LYNWOOD DR
355,Champaign Police,8-9-2020 5:00 PM,THEFT-MOTOR VEHICLE,CC2004884,1100  BLOCK  DEVONSHIRE DR
356,Champaign Police,8-9-2020 10:39 AM,TRESPASS-VEHICLE,CC2004860,0  BLOCK E GREEN ST
357,Champaign Police,8-9-2020 9:40 AM,VIOLATION ORDER PROTECTION,CC2004849,700  BLOCK N PROSPECT AV
358,Champaign Police,8-9-2020 2:10 AM,CRIMINAL DAMAGE TO PROPERTY,CC2004846,800  BLOCK S MATTIS AV
359,Champaign Police,8-9-2020 12:00 AM,CRIMINAL DAMAGE TO PROPERTY,CC2005021,1800  BLOCK  MORELAND BL
